gesture,foot,direction,camera,first/second,timestamp
BigStep,leftfoot,RecordingBack,cam1,first,1677445151465
BigStep,leftfoot,RecordingBack,cam2,first,1677445151198
BigStep,leftfoot,RecordingBack,cam2,second,1677445153732
BigStep,leftfoot,RecordingForth,cam1,first,1677445142310
BigStep,leftfoot,RecordingForth,cam1,second,1677445144810
BigStep,leftfoot,RecordingForth,cam2,first,1677445142343
BigStep,rightfoot,RecordingBack,cam1,first,1677445128896
BigStep,rightfoot,RecordingBack,cam1,second,1677445131430
BigStep,rightfoot,RecordingBack,cam2,first,1677445128930
BigStep,rightfoot,RecordingBack,cam2,second,1677445131430
BigStep,rightfoot,RecordingForth,cam1,first,1677445120378
BigStep,rightfoot,RecordingForth,cam1,second,1677445122778
BigStep,rightfoot,RecordingForth,cam2,first,1677445120278
Delay,leftfoot,RecordingBack,cam1,first,1677444997437
Delay,leftfoot,RecordingBack,cam1,second,1677445000003
Delay,leftfoot,RecordingBack,cam2,first,1677444997137
Delay,leftfoot,RecordingBack,cam2,second,1677445000070
Delay,leftfoot,RecordingForth,cam1,first,1677444987875
Delay,leftfoot,RecordingForth,cam1,second,1677444989909
Delay,leftfoot,RecordingForth,cam2,first,1677444986942
Delay,leftfoot,RecordingForth,cam2,second,1677444989742
Delay,rightfoot,RecordingBack,cam1,first,1677444974292
Delay,rightfoot,RecordingBack,cam2,first,1677444974292
Delay,rightfoot,RecordingBack,cam2,second,1677444976858
Delay,rightfoot,RecordingForth,cam1,first,1677444963118
Delay,rightfoot,RecordingForth,cam1,second,1677444966818
Delay,rightfoot,RecordingForth,cam2,first,1677444963218
Delay,rightfoot,RecordingForth,cam2,second,1677444966918
TapWithHeel,rightfoot,RecordingBack,cam1,first,1677444911095
TapWithHeel,rightfoot,RecordingBack,cam2,first,1677444910961
TapWithHeel,rightfoot,RecordingBack,cam2,second,1677444913461
TapWithHeel,rightfoot,RecordingForth,cam1,first,1677444900821
TapWithHeel,rightfoot,RecordingForth,cam1,second,1677444903355
TapWithHeel,rightfoot,RecordingForth,cam2,first,1677444900655
TapWithHeel,leftfoot,RecordingBack,cam1,first,1677444887049
TapWithHeel,leftfoot,RecordingBack,cam1,second,1677444889516
TapWithHeel,leftfoot,RecordingBack,cam2,first,1677444886883
TapWithHeel,leftfoot,RecordingBack,cam2,second,1677444889449
TapWithHeel,leftfoot,RecordingForth,cam1,first,1677444876964
TapWithHeel,leftfoot,RecordingForth,cam1,second,1677444881131
TapWithHeel,leftfoot,RecordingForth,cam2,first,1677444876831
TapWithHeel,leftfoot,RecordingForth,cam2,second,1677444880198
KickForward,rightfoot,RecordingBack,cam1,first,1677444804249
KickForward,rightfoot,RecordingBack,cam2,first,1677444804015
KickForward,rightfoot,RecordingBack,cam2,second,1677444806649
KickForward,rightfoot,RecordingForth,cam1,first,1677444793319
KickForward,rightfoot,RecordingForth,cam1,second,1677444795652
KickForward,rightfoot,RecordingForth,cam2,first,1677444793252
KickForward,rightfoot,RecordingForth,cam2,second,1677444795852
KickForward,leftfoot,RecordingBack,cam1,first,1677444780103
KickForward,leftfoot,RecordingBack,cam1,second,1677444782703
KickForward,leftfoot,RecordingBack,cam2,first,1677444780069
KickForward,leftfoot,RecordingBack,cam2,second,1677444782436
KickForward,leftfoot,RecordingForth,cam1,first,1677444769654
KickForward,leftfoot,RecordingForth,cam1,second,1677444772354
KickForward,leftfoot,RecordingForth,cam2,first,1677444769654
KickForward,leftfoot,RecordingForth,cam2,second,1677444772254
BendingBehind,rightfoot,RecordingBack,cam1,first,1677444367523
BendingBehind,rightfoot,RecordingBack,cam2,first,1677444367356
BendingBehind,rightfoot,RecordingBack,cam2,second,1677444369990
BendingBehind,rightfoot,RecordingForth,cam1,first,1677444357072
BendingBehind,rightfoot,RecordingForth,cam1,second,1677444359572
BendingBehind,rightfoot,RecordingForth,cam2,first,1677444357038
BendingBehind,rightfoot,RecordingForth,cam2,second,1677444359572
BendingBehind,leftfoot,RecordingBack,cam1,first,1677444344865
BendingBehind,leftfoot,RecordingBack,cam1,second,1677444346465
BendingBehind,leftfoot,RecordingBack,cam2,first,1677444344899
BendingBehind,leftfoot,RecordingBack,cam2,second,1677444346532
BendingBehind,leftfoot,RecordingForth,cam1,first,1677444335046
BendingBehind,leftfoot,RecordingForth,cam1,second,1677444337480
BendingBehind,leftfoot,RecordingForth,cam2,first,1677444334946
BendingBehind,leftfoot,RecordingForth,cam2,second,1677444337513
