gesture,foot,direction,camera,first/second,timestamp
Delay,leftfoot,RecordingBack,cam1,first,1676584903550
Delay,leftfoot,RecordingBack,cam2,first,1676584903416
Delay,leftfoot,RecordingBack,cam2,second,1676584906450
Delay,leftfoot,RecordingForth,cam1,first,1676584892076
Delay,leftfoot,RecordingForth,cam1,second,1676584894909
Delay,leftfoot,RecordingForth,cam2,first,1676584892109
Delay,leftfoot,RecordingForth,cam2,second,1676584895076
Delay,rightfoot,RecordingBack,cam1,first,1676584877515
Delay,rightfoot,RecordingBack,cam2,first,1676584877381
Delay,rightfoot,RecordingBack,cam2,second,1676584880348
Delay,rightfoot,RecordingForth,cam1,first,1676584866897
Delay,rightfoot,RecordingForth,cam1,second,1676584869664
Delay,rightfoot,RecordingForth,cam2,first,1676584866964
Delay,rightfoot,RecordingForth,cam2,second,1676584869697
BendingBehind,rightfoot,RecordingBack,cam1,first,1676584696408
BendingBehind,rightfoot,RecordingBack,cam2,first,1676584696442
BendingBehind,rightfoot,RecordingBack,cam2,second,1676584699275
BendingBehind,rightfoot,RecordingForth,cam1,first,1676584685436
BendingBehind,rightfoot,RecordingForth,cam1,second,1676584688336
BendingBehind,rightfoot,RecordingForth,cam2,first,1676584685503
BendingBehind,rightfoot,RecordingForth,cam2,second,1676584688336
BendingBehind,leftfoot,RecordingBack,cam1,first,1676584670587
BendingBehind,leftfoot,RecordingBack,cam1,second,1676584673387
BendingBehind,leftfoot,RecordingBack,cam2,first,1676584670554
BendingBehind,leftfoot,RecordingBack,cam2,second,1676584673453
BendingBehind,leftfoot,RecordingForth,cam1,first,1676584659747
BendingBehind,leftfoot,RecordingForth,cam1,second,1676584662414
BendingBehind,leftfoot,RecordingForth,cam2,first,1676584659781
BendingBehind,leftfoot,RecordingForth,cam2,second,1676584662647
BigStep,leftfoot,RecordingBack,cam1,first,1676584138485
BigStep,leftfoot,RecordingBack,cam1,second,1676584140819
BigStep,leftfoot,RecordingBack,cam2,first,1676584138452
BigStep,leftfoot,RecordingBack,cam2,second,1676584140819
BigStep,leftfoot,RecordingForth,cam1,first,1676584128569
BigStep,leftfoot,RecordingForth,cam1,second,1676584131036
BigStep,leftfoot,RecordingForth,cam2,first,1676584128603
BigStep,leftfoot,RecordingForth,cam2,second,1676584131069
BigStep,rightfoot,RecordingBack,cam1,first,1676584085442
BigStep,rightfoot,RecordingBack,cam2,first,1676584085442
BigStep,rightfoot,RecordingBack,cam2,second,1676584087875
BigStep,rightfoot,RecordingForth,cam1,first,1676584075767
BigStep,rightfoot,RecordingForth,cam1,second,1676584078101
BigStep,rightfoot,RecordingForth,cam2,first,1676584075701
BigStep,rightfoot,RecordingForth,cam2,second,1676584078101
KickForward,leftfoot,RecordingBack,cam1,first,1676583932547
KickForward,leftfoot,RecordingBack,cam1,second,1676583935480
KickForward,leftfoot,RecordingBack,cam2,first,1676583932614
KickForward,leftfoot,RecordingBack,cam2,second,1676583935614
KickForward,leftfoot,RecordingForth,cam1,first,1676583921785
KickForward,leftfoot,RecordingForth,cam1,second,1676583924585
KickForward,leftfoot,RecordingForth,cam2,first,1676583921585
KickForward,leftfoot,RecordingForth,cam2,second,1676583924519
KickForward,rightfoot,RecordingBack,cam1,first,1676583907479
KickForward,rightfoot,RecordingBack,cam1,second,1676583910279
KickForward,rightfoot,RecordingBack,cam2,first,1676583907379
KickForward,rightfoot,RecordingBack,cam2,second,1676583910079
KickForward,rightfoot,RecordingForth,cam1,first,1676583896473
KickForward,rightfoot,RecordingForth,cam1,second,1676583899073
KickForward,rightfoot,RecordingForth,cam2,first,1676583896306
KickForward,rightfoot,RecordingForth,cam2,second,1676583898973
TapWithHeel,rightfoot,RecordingBack,cam1,first,1676582527552
TapWithHeel,rightfoot,RecordingBack,cam1,second,1676582530552
TapWithHeel,rightfoot,RecordingBack,cam2,first,1676582527485
TapWithHeel,rightfoot,RecordingBack,cam2,second,1676582530352
TapWithHeel,rightfoot,RecordingForth,cam1,first,1676582515678
TapWithHeel,rightfoot,RecordingForth,cam1,second,1676582518178
TapWithHeel,rightfoot,RecordingForth,cam2,first,1676582515611
TapWithHeel,rightfoot,RecordingForth,cam2,second,1676582518211
TapWithHeel,leftfoot,RecordingBack,cam1,first,1676582500252
TapWithHeel,leftfoot,RecordingBack,cam1,second,1676582503118
TapWithHeel,leftfoot,RecordingBack,cam2,first,1676582500285
TapWithHeel,leftfoot,RecordingBack,cam2,second,1676582503285
TapWithHeel,leftfoot,RecordingForth,cam1,first,1676582489222
TapWithHeel,leftfoot,RecordingForth,cam1,second,1676582491789
TapWithHeel,leftfoot,RecordingForth,cam2,first,1676582489689
TapWithHeel,leftfoot,RecordingForth,cam2,second,1676582491789
