gesture,foot,direction,camera,first/second,timestamp
BendingBehind,leftfoot,RecordingBack,cam1,first,1676665060447
BendingBehind,leftfoot,RecordingBack,cam2,first,1676665060447
BendingBehind,leftfoot,RecordingBack,cam2,second,1676665063313
BendingBehind,leftfoot,RecordingForth,cam1,first,1676665049195
BendingBehind,leftfoot,RecordingForth,cam1,second,1676665051962
BendingBehind,leftfoot,RecordingForth,cam2,first,1676665049329
BendingBehind,leftfoot,RecordingForth,cam2,second,1676665051929
BendingBehind,rightfoot,RecordingBack,cam1,first,1676665018431
BendingBehind,rightfoot,RecordingBack,cam2,first,1676665018464
BendingBehind,rightfoot,RecordingBack,cam2,second,1676665021097
BendingBehind,rightfoot,RecordingForth,cam1,first,1676665008678
BendingBehind,rightfoot,RecordingForth,cam1,second,1676665011411
BendingBehind,rightfoot,RecordingForth,cam2,first,1676665008678
BendingBehind,rightfoot,RecordingForth,cam2,second,1676665011344
KickForward,rightfoot,RecordingBack,cam1,first,1676664541485
KickForward,rightfoot,RecordingBack,cam2,first,1676664541218
KickForward,rightfoot,RecordingBack,cam2,second,1676664543918
KickForward,rightfoot,RecordingForth,cam1,first,1676664531590
KickForward,rightfoot,RecordingForth,cam1,second,1676664533890
KickForward,rightfoot,RecordingForth,cam2,first,1676664531390
KickForward,rightfoot,RecordingForth,cam2,second,1676664533823
KickForward,leftfoot,RecordingBack,cam1,first,1676664518905
KickForward,leftfoot,RecordingBack,cam1,second,1676664521239
KickForward,leftfoot,RecordingBack,cam2,first,1676664518839
KickForward,leftfoot,RecordingBack,cam2,second,1676664521272
KickForward,leftfoot,RecordingForth,cam1,first,1676664509920
KickForward,leftfoot,RecordingForth,cam1,second,1676664512353
KickForward,leftfoot,RecordingForth,cam2,first,1676664509986
KickForward,leftfoot,RecordingForth,cam2,second,1676664512286
TapWithHeel,leftfoot,RecordingBack,cam1,first,1676664453653
TapWithHeel,leftfoot,RecordingBack,cam2,first,1676664453586
TapWithHeel,leftfoot,RecordingBack,cam2,second,1676664456053
TapWithHeel,leftfoot,RecordingForth,cam1,first,1676664444558
TapWithHeel,leftfoot,RecordingForth,cam1,second,1676664447024
TapWithHeel,leftfoot,RecordingForth,cam2,first,1676664444458
TapWithHeel,leftfoot,RecordingForth,cam2,second,1676664446991
TapWithHeel,rightfoot,RecordingBack,cam1,first,1676664430596
TapWithHeel,rightfoot,RecordingBack,cam2,first,1676664430363
TapWithHeel,rightfoot,RecordingBack,cam2,second,1676664432729
TapWithHeel,rightfoot,RecordingForth,cam1,first,1676664421677
TapWithHeel,rightfoot,RecordingForth,cam1,second,1676664424077
TapWithHeel,rightfoot,RecordingForth,cam2,first,1676664421610
BigStep,rightfoot,RecordingBack,cam1,first,1676664353792
BigStep,rightfoot,RecordingBack,cam2,first,1676664353792
BigStep,rightfoot,RecordingBack,cam2,second,1676664356126
BigStep,rightfoot,RecordingForth,cam1,first,1676664345118
BigStep,rightfoot,RecordingForth,cam1,second,1676664347385
BigStep,leftfoot,RecordingBack,cam1,first,1676664322472
BigStep,leftfoot,RecordingBack,cam2,first,1676664322538
BigStep,leftfoot,RecordingBack,cam2,second,1676664325038
BigStep,leftfoot,RecordingForth,cam1,first,1676664313307
BigStep,leftfoot,RecordingForth,cam1,second,1676664315740
BigStep,leftfoot,RecordingForth,cam2,first,1676664313374
BigStep,leftfoot,RecordingForth,cam2,second,1676664315641
Delay,rightfoot,RecordingBack,cam1,first,1676662541843
Delay,rightfoot,RecordingBack,cam2,first,1676662541810
Delay,rightfoot,RecordingBack,cam2,second,1676662545043
Delay,rightfoot,RecordingForth,cam1,first,1676662529581
Delay,rightfoot,RecordingForth,cam1,second,1676662532581
Delay,rightfoot,RecordingForth,cam2,first,1676662529547
Delay,rightfoot,RecordingForth,cam2,second,1676662532647
Delay,leftfoot,RecordingBack,cam1,first,1676662514622
Delay,leftfoot,RecordingBack,cam1,second,1676662517456
Delay,leftfoot,RecordingBack,cam2,first,1676662514489
Delay,leftfoot,RecordingBack,cam2,second,1676662517389
Delay,leftfoot,RecordingForth,cam1,first,1676662503281
Delay,leftfoot,RecordingForth,cam1,second,1676662506748
Delay,leftfoot,RecordingForth,cam2,first,1676662503448
Delay,leftfoot,RecordingForth,cam2,second,1676662506481
