gesture,foot,direction,camera,first/second,timestamp
TapWithHeel,leftfoot,RecordingBack,cam1,first,1677101962022
TapWithHeel,leftfoot,RecordingBack,cam2,first,1677101962022
TapWithHeel,leftfoot,RecordingBack,cam2,second,1677101964922
TapWithHeel,leftfoot,RecordingForth,cam1,first,1677101950438
TapWithHeel,leftfoot,RecordingForth,cam1,second,1677101952938
TapWithHeel,leftfoot,RecordingForth,cam2,first,1677101950038
TapWithHeel,leftfoot,RecordingForth,cam2,second,1677101953372
TapWithHeel,rightfoot,RecordingBack,cam1,first,1677101936309
TapWithHeel,rightfoot,RecordingBack,cam1,second,1677101939143
TapWithHeel,rightfoot,RecordingBack,cam2,first,1677101936176
TapWithHeel,rightfoot,RecordingBack,cam2,second,1677101939209
TapWithHeel,rightfoot,RecordingForth,cam1,first,1677101925826
TapWithHeel,rightfoot,RecordingForth,cam1,second,1677101928459
TapWithHeel,rightfoot,RecordingForth,cam2,first,1677101925692
TapWithHeel,rightfoot,RecordingForth,cam2,second,1677101928559
Delay,rightfoot,RecordingBack,cam1,first,1677101318078
Delay,rightfoot,RecordingBack,cam2,first,1677101317945
Delay,rightfoot,RecordingBack,cam2,second,1677101321011
Delay,rightfoot,RecordingForth,cam1,first,1677101305193
Delay,rightfoot,RecordingForth,cam1,second,1677101308293
Delay,rightfoot,RecordingForth,cam2,first,1677101305493
Delay,rightfoot,RecordingForth,cam2,second,1677101308226
Delay,leftfoot,RecordingBack,cam1,first,1677101288401
Delay,leftfoot,RecordingBack,cam1,second,1677101291001
Delay,leftfoot,RecordingBack,cam2,first,1677101288368
Delay,leftfoot,RecordingBack,cam2,second,1677101291168
Delay,leftfoot,RecordingForth,cam1,first,1677101275193
Delay,leftfoot,RecordingForth,cam1,second,1677101279293
Delay,leftfoot,RecordingForth,cam2,first,1677101275226
Delay,leftfoot,RecordingForth,cam2,second,1677101279426
BendingBehind,leftfoot,RecordingBack,cam1,first,1677100703721
BendingBehind,leftfoot,RecordingBack,cam1,second,1677100706221
BendingBehind,leftfoot,RecordingBack,cam2,first,1677100703388
BendingBehind,leftfoot,RecordingBack,cam2,second,1677100706321
BendingBehind,leftfoot,RecordingForth,cam1,first,1677100690025
BendingBehind,leftfoot,RecordingForth,cam1,second,1677100694192
BendingBehind,leftfoot,RecordingForth,cam2,first,1677100690025
BendingBehind,leftfoot,RecordingForth,cam2,second,1677100694259
BendingBehind,rightfoot,RecordingBack,cam1,first,1677100675364
BendingBehind,rightfoot,RecordingBack,cam1,second,1677100678397
BendingBehind,rightfoot,RecordingBack,cam2,first,1677100675364
BendingBehind,rightfoot,RecordingBack,cam2,second,1677100678331
BendingBehind,rightfoot,RecordingForth,cam1,first,1677100663713
BendingBehind,rightfoot,RecordingForth,cam1,second,1677100666513
BendingBehind,rightfoot,RecordingForth,cam2,first,1677100663680
BendingBehind,rightfoot,RecordingForth,cam2,second,1677100666547
KickForward,rightfoot,RecordingBack,cam1,first,1677100246990
KickForward,rightfoot,RecordingBack,cam1,second,1677100250357
KickForward,rightfoot,RecordingBack,cam2,first,1677100247024
KickForward,rightfoot,RecordingBack,cam2,second,1677100250290
KickForward,rightfoot,RecordingForth,cam1,first,1677100233818
KickForward,rightfoot,RecordingForth,cam1,second,1677100238218
KickForward,rightfoot,RecordingForth,cam2,first,1677100233885
KickForward,rightfoot,RecordingForth,cam2,second,1677100238118
KickForward,leftfoot,RecordingBack,cam1,first,1677100218146
KickForward,leftfoot,RecordingBack,cam1,second,1677100221046
KickForward,leftfoot,RecordingBack,cam2,first,1677100217879
KickForward,leftfoot,RecordingBack,cam2,second,1677100220913
KickForward,leftfoot,RecordingForth,cam1,first,1677100205208
KickForward,leftfoot,RecordingForth,cam1,second,1677100209175
KickForward,leftfoot,RecordingForth,cam2,first,1677100205375
KickForward,leftfoot,RecordingForth,cam2,second,1677100209175
BigStep,rightfoot,RecordingBack,cam1,first,1677099890520
BigStep,rightfoot,RecordingBack,cam1,second,1677099893087
BigStep,rightfoot,RecordingBack,cam2,first,1677099890553
BigStep,rightfoot,RecordingBack,cam2,second,1677099893120
BigStep,rightfoot,RecordingForth,cam1,first,1677099878192
BigStep,rightfoot,RecordingForth,cam1,second,1677099882258
BigStep,rightfoot,RecordingForth,cam2,first,1677099878725
BigStep,rightfoot,RecordingForth,cam2,second,1677099882492
BigStep,leftfoot,RecordingBack,cam1,first,1677099823924
BigStep,leftfoot,RecordingBack,cam1,second,1677099826691
BigStep,leftfoot,RecordingBack,cam2,first,1677099823824
BigStep,leftfoot,RecordingBack,cam2,second,1677099826691
BigStep,leftfoot,RecordingForth,cam1,first,1677099813316
BigStep,leftfoot,RecordingForth,cam1,second,1677099816083
BigStep,leftfoot,RecordingForth,cam2,first,1677099813316
