gesture,foot,direction,camera,first/second,timestamp
BigStep,leftfoot,RecordingBack,cam1,first,1676414845893
BigStep,leftfoot,RecordingBack,cam2,first,1676414845859
BigStep,leftfoot,RecordingBack,cam2,second,1676414848126
BigStep,leftfoot,RecordingForth,cam1,first,1676414838085
BigStep,leftfoot,RecordingForth,cam1,second,1676414839252
BigStep,leftfoot,RecordingForth,cam2,first,1676414837185
BigStep,leftfoot,RecordingForth,cam2,second,1676414839352
BigStep,rightfoot,RecordingBack,cam1,first,1676326327763
BigStep,rightfoot,RecordingBack,cam2,first,1676326327696
BigStep,rightfoot,RecordingBack,cam2,second,1676326329696
BigStep,rightfoot,RecordingForth,cam1,first,1676326319287
BigStep,rightfoot,RecordingForth,cam1,second,1676326321254
BigStep,rightfoot,RecordingForth,cam2,first,1676326319187
BigStep,rightfoot,RecordingForth,cam2,second,1676326321254
KickForward,leftfoot,RecordingBack,cam1,first,1676324579257
KickForward,leftfoot,RecordingBack,cam2,first,1676324579290
KickForward,leftfoot,RecordingBack,cam2,second,1676324581090
KickForward,leftfoot,RecordingForth,cam1,first,1676324569805
KickForward,leftfoot,RecordingForth,cam1,second,1676324572105
KickForward,leftfoot,RecordingForth,cam2,first,1676324569738
KickForward,leftfoot,RecordingForth,cam2,second,1676324571971
KickForward,rightfoot,RecordingBack,cam1,first,1676324557133
KickForward,rightfoot,RecordingBack,cam1,second,1676324559333
KickForward,rightfoot,RecordingBack,cam2,first,1676324557033
KickForward,rightfoot,RecordingBack,cam2,second,1676324559400
KickForward,rightfoot,RecordingForth,cam1,first,1676324548594
KickForward,rightfoot,RecordingForth,cam1,second,1676324551127
KickForward,rightfoot,RecordingForth,cam2,first,1676324548427
KickForward,rightfoot,RecordingForth,cam2,second,1676324551194
BendingBehind,leftfoot,RecordingBack,cam1,first,1676324178897
BendingBehind,leftfoot,RecordingBack,cam2,first,1676324178931
BendingBehind,leftfoot,RecordingBack,cam2,second,1676324181331
BendingBehind,leftfoot,RecordingForth,cam1,first,1676324169667
BendingBehind,leftfoot,RecordingForth,cam1,second,1676324172033
BendingBehind,leftfoot,RecordingForth,cam2,first,1676324169767
BendingBehind,leftfoot,RecordingForth,cam2,second,1676324172067
BendingBehind,rightfoot,RecordingBack,cam1,first,1676324157150
BendingBehind,rightfoot,RecordingBack,cam2,first,1676324157150
BendingBehind,rightfoot,RecordingBack,cam2,second,1676324159517
BendingBehind,rightfoot,RecordingForth,cam1,first,1676324147487
BendingBehind,rightfoot,RecordingForth,cam1,second,1676324149654
BendingBehind,rightfoot,RecordingForth,cam2,first,1676324147554
BendingBehind,rightfoot,RecordingForth,cam2,second,1676324149721
TapWithHeel,rightfoot,RecordingBack,cam1,first,1676323883806
TapWithHeel,rightfoot,RecordingBack,cam2,first,1676323883706
TapWithHeel,rightfoot,RecordingBack,cam2,second,1676323886372
TapWithHeel,rightfoot,RecordingForth,cam1,first,1676323872887
TapWithHeel,rightfoot,RecordingForth,cam1,second,1676323876021
TapWithHeel,rightfoot,RecordingForth,cam2,first,1676323873354
TapWithHeel,rightfoot,RecordingForth,cam2,second,1676323876054
TapWithHeel,leftfoot,RecordingBack,cam1,first,1676323860027
TapWithHeel,leftfoot,RecordingBack,cam2,first,1676323859994
TapWithHeel,leftfoot,RecordingBack,cam2,second,1676323862560
TapWithHeel,leftfoot,RecordingForth,cam1,first,1676323850265
TapWithHeel,leftfoot,RecordingForth,cam1,second,1676323852798
TapWithHeel,leftfoot,RecordingForth,cam2,first,1676323850265
TapWithHeel,leftfoot,RecordingForth,cam2,second,1676323852931
Delay,rightfoot,RecordingBack,cam1,first,1676323747861
Delay,rightfoot,RecordingBack,cam2,first,1676323747761
Delay,rightfoot,RecordingBack,cam2,second,1676323749994
Delay,rightfoot,RecordingForth,cam1,first,1676323738454
Delay,rightfoot,RecordingForth,cam1,second,1676323740588
Delay,rightfoot,RecordingForth,cam2,first,1676323738421
Delay,rightfoot,RecordingForth,cam2,second,1676323740687
Delay,leftfoot,RecordingBack,cam1,first,1676323723481
Delay,leftfoot,RecordingBack,cam1,second,1676323725815
Delay,leftfoot,RecordingBack,cam2,first,1676323723515
Delay,leftfoot,RecordingBack,cam2,second,1676323725815
Delay,leftfoot,RecordingForth,cam1,first,1676323713053
Delay,leftfoot,RecordingForth,cam1,second,1676323715286
Delay,leftfoot,RecordingForth,cam2,first,1676323712953
Delay,leftfoot,RecordingForth,cam2,second,1676323715419
