gesture,foot,direction,camera,first/second,timestamp
KickForward,leftfoot,RecordingBack,cam1,first,1677012129649
KickForward,leftfoot,RecordingBack,cam2,second,1677012129615
KickForward,leftfoot,RecordingForth,cam1,first,1677012118331
KickForward,leftfoot,RecordingForth,cam1,second,1677012121098
KickForward,leftfoot,RecordingForth,cam2,first,1677012118298
KickForward,leftfoot,RecordingForth,cam2,second,1677012120831
KickForward,rightfoot,RecordingBack,cam1,first,1677012104758
KickForward,rightfoot,RecordingBack,cam2,first,1677012104425
KickForward,rightfoot,RecordingBack,cam2,second,1677012107158
KickForward,rightfoot,RecordingForth,cam1,first,1677012093218
KickForward,rightfoot,RecordingForth,cam1,second,1677012095918
KickForward,rightfoot,RecordingForth,cam2,first,1677012093185
KickForward,rightfoot,RecordingForth,cam2,second,1677012095851
TapWithHeel,rightfoot,RecordingBack,cam1,first,1677011460449
TapWithHeel,rightfoot,RecordingBack,cam2,first,1677011460449
TapWithHeel,rightfoot,RecordingBack,cam2,second,1677011462815
TapWithHeel,rightfoot,RecordingForth,cam1,first,1677011450596
TapWithHeel,rightfoot,RecordingForth,cam1,second,1677011452929
TapWithHeel,rightfoot,RecordingForth,cam2,first,1677011450663
TapWithHeel,leftfoot,RecordingBack,cam1,first,1677011436447
TapWithHeel,leftfoot,RecordingBack,cam2,first,1677011436514
TapWithHeel,leftfoot,RecordingBack,cam2,second,1677011438980
TapWithHeel,leftfoot,RecordingForth,cam1,first,1677011426886
TapWithHeel,leftfoot,RecordingForth,cam1,second,1677011429419
TapWithHeel,leftfoot,RecordingForth,cam2,first,1677011426952
BigStep,leftfoot,RecordingBack,cam1,first,1677011228663
BigStep,leftfoot,RecordingBack,cam2,first,1677011228563
BigStep,leftfoot,RecordingBack,cam2,second,1677011230063
BigStep,leftfoot,RecordingForth,cam1,first,1677011217746
BigStep,leftfoot,RecordingForth,cam1,second,1677011220112
BigStep,leftfoot,RecordingForth,cam2,first,1677011217846
BigStep,rightfoot,RecordingBack,cam1,first,1677011204841
BigStep,rightfoot,RecordingBack,cam2,first,1677011204908
BigStep,rightfoot,RecordingBack,cam2,second,1677011206941
BigStep,rightfoot,RecordingForth,cam1,first,1677011194756
BigStep,rightfoot,RecordingForth,cam1,second,1677011196890
BigStep,rightfoot,RecordingForth,cam2,first,1677011194623
BigStep,rightfoot,RecordingForth,cam2,second,1677011196923
Delay,rightfoot,RecordingBack,cam1,first,1677010343208
Delay,rightfoot,RecordingBack,cam1,second,1677010345742
Delay,rightfoot,RecordingBack,cam2,first,1677010343008
Delay,rightfoot,RecordingBack,cam2,second,1677010345542
Delay,rightfoot,RecordingForth,cam1,first,1677010332557
Delay,rightfoot,RecordingForth,cam1,second,1677010335257
Delay,rightfoot,RecordingForth,cam2,first,1677010332690
Delay,rightfoot,RecordingForth,cam2,second,1677010335190
Delay,leftfoot,RecordingBack,cam1,first,1677010316619
Delay,leftfoot,RecordingBack,cam2,first,1677010316719
Delay,leftfoot,RecordingBack,cam2,second,1677010319253
Delay,leftfoot,RecordingForth,cam1,first,1677010305723
Delay,leftfoot,RecordingForth,cam1,second,1677010308257
Delay,leftfoot,RecordingForth,cam2,first,1677010305690
Delay,leftfoot,RecordingForth,cam2,second,1677010308257
BendingBehind,leftfoot,RecordingBack,cam1,first,1677009900674
BendingBehind,leftfoot,RecordingBack,cam1,second,1677009903008
BendingBehind,leftfoot,RecordingBack,cam2,first,1677009900274
BendingBehind,leftfoot,RecordingBack,cam2,second,1677009903008
BendingBehind,leftfoot,RecordingForth,cam1,first,1677009889646
BendingBehind,leftfoot,RecordingForth,cam1,second,1677009892113
BendingBehind,leftfoot,RecordingForth,cam2,first,1677009889646
BendingBehind,leftfoot,RecordingForth,cam2,second,1677009892313
BendingBehind,rightfoot,RecordingBack,cam1,first,1677009876462
BendingBehind,rightfoot,RecordingBack,cam2,first,1677009876428
BendingBehind,rightfoot,RecordingBack,cam2,second,1677009878928
BendingBehind,rightfoot,RecordingForth,cam1,first,1677009865345
BendingBehind,rightfoot,RecordingForth,cam1,second,1677009868145
BendingBehind,rightfoot,RecordingForth,cam2,first,1677009865412
BendingBehind,rightfoot,RecordingForth,cam2,second,1677009868112
