gesture,foot,direction,camera,first/second,timestamp
SmallStep,leftfoot,RecordingBack,cam1,first,1676934931393
SmallStep,leftfoot,RecordingBack,cam2,first,1676934931059
SmallStep,leftfoot,RecordingBack,cam2,second,1676934933259
SmallStep,leftfoot,RecordingForth,cam1,first,1676934922007
SmallStep,leftfoot,RecordingForth,cam1,second,1676934924073
SmallStep,leftfoot,RecordingForth,cam2,first,1676934922240
SmallStep,leftfoot,RecordingForth,cam2,second,1676934924607
SmallStep,rightfoot,RecordingBack,cam1,first,1676934910189
SmallStep,rightfoot,RecordingBack,cam2,first,1676934910122
SmallStep,rightfoot,RecordingBack,cam2,second,1676934912656
SmallStep,rightfoot,RecordingForth,cam1,first,1676934900604
SmallStep,rightfoot,RecordingForth,cam1,second,1676934902771
SmallStep,rightfoot,RecordingForth,cam2,first,1676934900604
SmallStep,rightfoot,RecordingForth,cam2,second,1676934902937
TapWithFootRotatedInwards,leftfoot,RecordingBack,cam1,first,1676934841717
TapWithFootRotatedInwards,leftfoot,RecordingBack,cam2,first,1676934841683
TapWithFootRotatedInwards,leftfoot,RecordingBack,cam2,second,1676934844150
TapWithFootRotatedInwards,leftfoot,RecordingForth,cam1,first,1676934832253
TapWithFootRotatedInwards,leftfoot,RecordingForth,cam1,second,1676934834520
TapWithFootRotatedInwards,leftfoot,RecordingForth,cam2,first,1676934831920
TapWithFootRotatedInwards,leftfoot,RecordingForth,cam2,second,1676934834353
TapWithFootRotatedInwards,rightfoot,RecordingBack,cam1,first,1676934819848
TapWithFootRotatedInwards,rightfoot,RecordingBack,cam2,first,1676934819881
TapWithFootRotatedInwards,rightfoot,RecordingBack,cam2,second,1676934822081
TapWithFootRotatedInwards,rightfoot,RecordingForth,cam1,first,1676934810519
TapWithFootRotatedInwards,rightfoot,RecordingForth,cam1,second,1676934813019
TapWithFootRotatedInwards,rightfoot,RecordingForth,cam2,first,1676934810386
TapWithFootRotatedInwards,rightfoot,RecordingForth,cam2,second,1676934812552
TapOuward,leftfoot,RecordingBack,cam1,first,1676934728652
TapOuward,leftfoot,RecordingBack,cam1,second,1676934730719
TapOuward,leftfoot,RecordingBack,cam2,first,1676934728452
TapOuward,leftfoot,RecordingBack,cam2,second,1676934730685
TapOuward,leftfoot,RecordingForth,cam1,first,1676934719066
TapOuward,leftfoot,RecordingForth,cam1,second,1676934721366
TapOuward,leftfoot,RecordingForth,cam2,first,1676934719132
TapOuward,leftfoot,RecordingForth,cam2,second,1676934721432
TapOuward,rightfoot,RecordingBack,cam1,first,1676934683648
TapOuward,rightfoot,RecordingBack,cam1,second,1676934686015
TapOuward,rightfoot,RecordingBack,cam2,first,1676934683548
TapOuward,rightfoot,RecordingBack,cam2,second,1676934685915
TapOuward,rightfoot,RecordingForth,cam1,first,1676934674340
TapOuward,rightfoot,RecordingForth,cam1,second,1676934676606
TapOuward,rightfoot,RecordingForth,cam2,first,1676934674240
TapOuward,rightfoot,RecordingForth,cam2,second,1676934676606
TapInFrontOfTheOtherFoot,rightfoot,RecordingBack,cam1,first,1676934571425
TapInFrontOfTheOtherFoot,rightfoot,RecordingBack,cam2,first,1676934571458
TapInFrontOfTheOtherFoot,rightfoot,RecordingBack,cam2,second,1676934573825
TapInFrontOfTheOtherFoot,rightfoot,RecordingForth,cam1,first,1676934562451
TapInFrontOfTheOtherFoot,rightfoot,RecordingForth,cam1,second,1676934564685
TapInFrontOfTheOtherFoot,rightfoot,RecordingForth,cam2,first,1676934562385
TapInFrontOfTheOtherFoot,rightfoot,RecordingForth,cam2,second,1676934564651
TapInFrontOfTheOtherFoot,leftfoot,RecordingBack,cam1,first,1676934549911
TapInFrontOfTheOtherFoot,leftfoot,RecordingBack,cam1,second,1676934552177
TapInFrontOfTheOtherFoot,leftfoot,RecordingBack,cam2,first,1676934549844
TapInFrontOfTheOtherFoot,leftfoot,RecordingBack,cam2,second,1676934552344
TapInFrontOfTheOtherFoot,leftfoot,RecordingForth,cam1,first,1676934540161
TapInFrontOfTheOtherFoot,leftfoot,RecordingForth,cam1,second,1676934542294
